date,age_group,cum_case,cum_admission,cum_death,cumFirstDose,newFirstDose,cumSecondDose,newSecondDose,cumThirdInjection,newThirdInjection,newSpring22,cumSpring22,new_case,new_death,new_admission,current_case,current_admission,,population_size
1/25/2021,18_64,2369928,112512,9064,2236713,73475,110119,487,138,2,0,0,20517,116,1056,2088135,98090,,36139000
1/25/2021,65_84,322805,137556,45078,2458561,96536,146536,74,28,1,0,0,2764,477,1068,162191,85927,,9316000
1/25/2021,85+,124921,70203,37403,1197700,13845,184534,30,3,0,0,0,1168,482,483,45795,29457,,1457000
1/26/2021,00_17,492911,4338,48,292,14,6,0,0,0,0,0,3154,0,43,453365,4083,,10117000
1/26/2021,18_64,2388396,113580,9167,2322348,85635,110556,437,142,4,0,0,18468,103,1068,2104216,99004,,36139000
1/26/2021,65_84,325294,138672,45517,2576990,118429,146608,72,31,3,0,0,2489,439,1116,163386,86551,,9316000
1/26/2021,85+,125990,70775,37829,1213179,15479,184561,27,4,1,0,0,1069,426,572,46215,29575,,1457000
1/27/2021,00_17,495962,4367,48,309,17,6,0,0,0,0,0,3051,0,29,456169,4111,,10117000
1/27/2021,18_64,2406059,114655,9266,2412721,90373,111081,525,146,4,0,0,17663,99,1075,2119542,99929,,36139000
1/27/2021,65_84,327544,139743,45979,2700172,123182,146696,88,31,0,0,0,2250,462,1071,164405,87109,,9316000
1/27/2021,85+,126899,71342,38280,1227536,14357,184593,32,5,1,0,0,909,451,567,46492,29664,,1457000
1/28/2021,00_17,498770,4400,48,338,29,6,0,0,0,0,0,2808,0,33,458743,4142,,10117000
1/28/2021,18_64,2422718,115709,9370,2510806,98085,112050,969,149,3,0,0,16659,104,1054,2133957,100829,,36139000
1/28/2021,65_84,329724,140834,46437,2908948,208776,146883,187,32,1,0,0,2180,458,1091,165338,87690,,9316000
1/28/2021,85+,127739,71883,38739,1245882,18346,184657,64,6,1,0,0,840,459,541,46731,29721,,1457000
1/29/2021,00_17,501552,4441,50,383,45,7,1,0,0,0,0,2782,2,41,461285,4179,,10117000
1/29/2021,18_64,2437391,116629,9472,2623926,113120,113885,1835,151,2,0,0,14673,102,920,2146662,101603,,36139000
1/29/2021,65_84,331821,141780,46882,3239414,330466,147299,416,38,6,0,0,2097,445,946,166339,88146,,9316000
1/29/2021,85+,128534,72355,39135,1263480,17598,184737,80,6,0,0,0,795,396,472,46998,29774,,1457000
1/30/2021,00_17,503711,4473,50,422,39,8,1,0,0,0,0,2159,0,32,463258,4210,,10117000
1/30/2021,18_64,2448878,117432,9558,2722988,99062,115807,1922,156,5,0,0,11487,86,803,2156526,102282,,36139000
1/30/2021,65_84,333269,142662,47250,3576468,337054,147679,380,45,7,0,0,1448,368,882,166802,88618,,9316000
